Depth,Number of Tags,Tags
45,55,"span, span, span, span, img, span, span, span, span, span, span, span, div, a, span, div, span, div, span, div, div, div, a, a, div, div, div, path, path, svg, path, div, div, div, svg, svg, div, svg, kbd, kbd, code, time, div, div, div, div, div, div, div, span, div, div, div, a, div"
46,73,"span, span, span, span, span, span, img, span, span, span, span, span, span, span, code, code, code, a, span, a, a, button, span, div, a, div, span, a, div, path, div, div, div, div, div, div, div, path, path, svg, path, div, div, div, ul, a, span, a, button, div, button, div, a, p, div, div, div, div, div, div, div, a, div, script, script, footer, script, div, div, div, div, div, div"
47,61,"span, span, span, span, span, span, img, span, span, span, span, span, span, span, div, a, span, div, div, div, div, a, div, span, a, div, path, div, div, div, div, div, svg, svg, div, svg, code, time, div, div, ul, a, span, a, button, div, button, div, a, p, div, span, div, div, div, div, div, svg, p, p, div"
48,65,"span, span, span, span, span, span, img, span, span, span, span, span, a, a, button, span, div, a, span, div, div, div, div, a, a, div, div, div, path, path, svg, path, div, div, svg, svg, div, svg, kbd, kbd, code, time, div, div, div, div, div, div, div, span, div, div, div, a, div, script, noscript, div, nav, div, path, path, a, button, button"
49,65,"span, span, span, span, img, span, span, span, span, span, span, span, a, a, button, span, div, a, div, span, a, div, path, div, div, div, div, path, path, svg, path, div, div, div, ul, a, span, a, button, div, button, div, a, p, p, p, div, div, div, div, div, div, div, a, div, div, div, div, a, div, div, div, div, ul, p"
50,85,"span, span, span, span, span, span, img, span, span, span, span, span, span, span, div, a, span, div, div, div, div, span, a, div, path, div, div, div, div, div, svg, svg, div, svg, kbd, kbd, kbd, kbd, code, code, code, time, div, div, ul, a, span, a, button, div, button, div, a, p, div, span, div, div, div, div, div, div, div, div, div, div, div, div, aside, img, svg, h5, ul, h5, ul, h5, ul, div, li, li, li, li, li, a, span"
51,96,"span, span, span, span, span, span, img, span, span, span, span, span, span, span, a, a, button, div, a, span, div, div, div, div, a, a, div, div, div, path, path, svg, path, div, div, svg, svg, div, svg, kbd, kbd, time, div, div, div, div, div, div, div, span, div, div, div, aside, h2, ul, div, div, div, div, h4, div, h4, div, h4, ul, a, a, div, path, path, a, li, li, a, li, li, li, li, a, li, li, li, li, li, li, li, li, li, h5, ul, a, a, a, a, a"
52,141,"span, span, span, span, span, span, img, span, span, span, span, span, span, span, a, a, button, span, div, a, div, span, a, div, path, div, div, div, div, path, path, svg, path, div, div, div, ul, a, span, a, button, div, button, div, a, p, blockquote, p, blockquote, div, div, div, div, div, div, div, a, a, a, a, a, div, li, li, div, li, li, li, li, li, li, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, a, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, svg, h1, div, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, li, li, li, li, li, li, li, li"
53,164,"span, span, span, span, span, span, img, span, span, span, span, span, span, span, div, a, span, div, div, div, div, span, a, div, path, div, div, div, div, div, svg, svg, div, svg, p, p, time, div, div, div, ul, a, span, a, button, div, button, div, a, p, div, span, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, div, a, path, div, div, svg, a, a, a, a, a, a, a, a"
54,93,"span, span, span, span, span, span, img, span, span, span, span, span, a, a, button, div, a, span, div, div, div, div, a, a, div, div, div, path, path, svg, path, kbd, kbd, kbd, kbd, kbd, kbd, div, div, div, li, li, svg, svg, div, svg, kbd, kbd, kbd, time, div, div, div, div, div, div, svg, a, svg, a, div, a, div, a, div, a, div, a, div, a, div, a, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, label, input, svg, path"
55,51,"span, span, span, span, img, span, span, span, span, span, span, span, a, a, button, span, div, a, div, span, a, div, path, div, div, div, div, div, div, div, div, div, div, div, path, path, svg, path, div, div, div, ul, a, span, a, svg, div, path, path, p, path"
56,40,"span, span, span, span, span, span, img, span, span, span, span, span, span, span, div, a, span, div, div, div, div, a, div, span, a, div, div, div, div, div, path, div, div, div, div, div, path, path, b, a"
57,34,"span, span, span, span, span, span, img, span, span, span, a, a, button, span, div, a, span, div, span, div, span, span, div, span, span, div, div, div, a, a, div, div, div, a"
58,24,"span, span, img, span, span, span, span, span, a, span, a, span, svg, a, a, button, span, div, a, span, div, span, a, div"
59,17,"span, span, span, span, path, img, span, span, span, span, span, span, span, div, a, span, div"
60,10,"span, span, span, span, span, span, img, span, span, span"
61,2,"span, span"
